year,school_name,elevated_result,math_score,ela_score,dbn,total_enrollment,grade_pk_half_day_full_day,grade_k,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,number_female,percent_female,number_male,percent_male,number_asian,percent_asian,number_black,percent_black,number_hispanic,percent_hispanic,number_multiple_race_categories_not_represented,percent_multiple_race_categories_not_represented,number_white,percent_white,number_students_with_disabilities,percent_students_with_disabilities,number_english_language_learners,percent_english_language_learners,number_poverty,percent_poverty,economic_need_index,school_year
2016,ACADEMY FOR NEW AMERICANS,1,286,252,30Q235,149,0,0,0,0,0,0,0,30,47,72,0,0,0,0,78,52.3,71,47.7,26,17.4,2,1.3,97,65.1,1,0.7,23,15.4,0,0,148,99.3,143,96,55.6,2016-17
2016,ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,0,273,285,10X363,503,0,0,0,0,0,0,0,175,167,161,0,0,0,0,217,43.1,286,56.9,11,2.2,54,10.7,429,85.3,2,0.4,7,1.4,126,25,167,33.2,486,96.6,88,2016-17
2016,ACADEMY FOR YOUNG WRITERS,1,271,296,19K404,566,0,0,0,0,0,0,0,67,61,63,95,82,73,125,349,61.7,217,38.3,6,1.1,396,70,146,25.8,13,2.3,5,0.9,114,20.1,9,1.6,459,81.1,68.6,2016-17
2016,ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,1,304,304,07X343,302,0,0,0,0,0,0,0,103,97,102,0,0,0,0,136,45,166,55,2,0.7,80,26.5,216,71.5,2,0.7,2,0.7,72,23.8,27,8.9,286,94.7,88.6,2016-17
2016,ACADEMY OF ARTS AND LETTERS,1,315,321,13K492,517,0,50,51,55,57,56,59,63,61,65,0,0,0,0,273,52.8,244,47.2,37,7.2,191,36.9,81,15.7,33,6.4,175,33.8,111,21.5,4,0.8,139,26.9,31.8,2016-17
2016,ACADEMY OF PUBLIC RELATIONS,1,271,285,07X298,256,0,0,0,0,0,0,0,90,72,94,0,0,0,0,116,45.3,140,54.7,0,0,53,20.7,198,77.3,1,0.4,4,1.6,74,28.9,72,28.1,205,80.1,86.9,2016-17
2016,ACCION ACADEMY,1,278,294,12X341,131,0,0,0,0,0,0,0,48,49,34,0,0,0,0,67,51.1,64,48.9,2,1.5,33,25.2,95,72.5,0,0,1,0.8,35,26.7,21,16,114,87,89.4,2016-17
2016,ALL CITY LEADERSHIP SECONDARY SCHOOL,1,339,334,32K554,413,0,0,0,0,0,0,0,60,60,62,67,62,60,42,233,56.4,180,43.6,25,6.1,42,10.2,315,76.3,2,0.5,29,7,33,8,7,1.7,363,87.9,60.5,2016-17
2016,AMISTAD DUAL LANGUAGE SCHOOL,1,295,303,06M311,423,0,50,50,49,43,47,50,46,36,52,0,0,0,0,219,51.8,204,48.2,6,1.4,5,1.2,389,92,3,0.7,20,4.7,59,13.9,103,24.3,336,79.4,68,2016-17
2016,AMPARK NEIGHBORHOOD,0,308,314,10X344,398,0,52,66,63,58,78,81,0,0,0,0,0,0,0,196,49.2,202,50.8,16,4,56,14.1,252,63.3,12,3,62,15.6,71,17.8,16,4,205,51.5,43.4,2016-17
