Borough,Geographical District,Building Code,Building Name ,Building Address,Elevated Result,Date of Initial Test,Number of Samples Tested,Number of Elevated Samples
K,15,K001,P.S. 1 - BROOKLYN,309 47 STREET,Yes,12/8/2016,121,1
K,17,K002,I.S. 2 - BROOKLYN,655 PARKSIDE AVENUE,Yes,12/24/2016,121,25
K,13,K003,P.S. 3 - BROOKLYN,50 JEFFERSON AVENUE,Yes,11/29/2016,109,12
K,16,K005,P.S. 5 - BROOKLYN,820 HANCOCK STREET,Yes,12/2/2016,127,1
K,17,K006,P.S. 6 - BROOKLYN,43 SNYDER AVENUE,Yes,12/16/2016,138,25
K,19,K007,P.S. 7 - BROOKLYN,858 JAMAICA AVENUE,Yes,12/2/2016,96,4
K,13,K008,P.S. 8 - BROOKLYN,37 HICKS STREET,Yes,11/29/2016,89,4
K,13,K009,P.S. 9 - BROOKLYN,80 UNDERHILL AVENUE,Yes,11/30/2016,159,9
K,15,K010,P.S. 10 - BROOKLYN,511 7 AVENUE,Yes,12/2/2016,96,18
K,13,K011,P.S. 11 - BROOKLYN,419 WAVERLY AVENUE,Yes,12/2/2016,144,8
K,23,K012,P.S. 12 - BROOKLYN,430 HOWARD AVENUE,Yes,12/15/2016,116,23
K,19,K013,P.S. 13 - BROOKLYN,557 PENNSYLVANIA AVENUE,Yes,1/28/2017; 2/17/2017,148,14
K,22,K014,I.S. 14 - BROOKLYN,2424 BATCHELDER STREET,Yes,1/7/2017,47,3
K,15,K015,P.S. 15 - BROOKLYN,71 SULLIVAN STREET,Yes,2/11/2017,125,8
K,14,K016,P.S. 16 - BROOKLYN,157 WILSON STREET,Yes,12/2/2016,160,6
K,14,K017,P.S. 17 - BROOKLYN,208 NORTH 5 STREET,Yes,12/2/2016,75,3
K,14,K018,P.S. 18 - BROOKLYN,101 MAUJER STREET,Yes,11/30/2016,45,4
K,14,K019,P.S. 19 - BROOKLYN,325 SOUTH 3 STREET,Yes,12/3/2016,89,8
K,13,K020,P.S. 20 - BROOKLYN,225 ADELPHI STREET,Yes,12/1/2016,153,2
K,16,K021,P.S. 21 - BROOKLYN,180 CHAUNCEY STREET,Yes,11/30/2016,125,3
K,17,K022,P.S. 22 - BROOKLYN,443 ST MARKS AVENUE,Yes,12/9/2016,165,12
K,14,K023,P.S. 23 - BROOKLYN,545 WILLOUGHBY AVENUE,Yes,1/28/2017,133,4
K,15,K024,P.S. 24 - BROOKLYN,427 38 STREET,Yes,11/29/2016,157,14
K,16,K025,P.S. 25 - BROOKLYN,787 LAFAYETTE AVENUE,Yes,12/3/2016,79,1
K,16,K026,P.S. 26 - BROOKLYN,1014 LAFAYETTE AVENUE,Yes,12/7/2016,186,19
K,15,K027,P.S. 27 - BROOKLYN,27 HUNTINGTON STREET,Yes,12/3/2016; 12/09/2016,100,7
K,16,K028,P.S. 28 - BROOKLYN,1001 HERKIMER STREET,Yes,11/30/2016,52,6
K,15,K029,P.S. 29 - BROOKLYN,425 HENRY STREET,Yes,12/2/2016,73,1
K,14,K031,P.S. 31 (OLD 126) - K,75 MESEROLE AVENUE,Yes,1/28/2017,82,22
K,15,K032,P.S. 32 - BROOKLYN,317 HOYT STREET,Yes,1/28/2017,96,4
K,14,K033,I.S. 33 - BROOKLYN,70 TOMPKINS AVENUE,Yes,12/24/2016,97,7
K,14,K034,P.S. 34 - BROOKLYN,131 NORMAN AVENUE,No,12/7/2016,28,0
K,16,K035,I.S. 35 - BROOKLYN,272 MACDONOUGH STREET,No,1/28/2017,73,0
K,15,K038,P.S. 38 - BROOKLYN,450 PACIFIC STREET,Yes,12/2/2016,112,6
K,15,K039,P.S. 39 - BROOKLYN,417 6 AVENUE,No,12/1/2016,18,0
K,16,K040,P.S. 40 - BROOKLYN,265 RALPH AVENUE,Yes,12/1/2016,138,7
K,23,K041,P.S. 41 - BROOKLYN,225 Newport Street,No,12/3/2016,90,0
K,22,K042,PRE-K CENTER @3610 GLENWOOD ROAD - BROOKLYN,3610 GLENWOOD ROAD,Yes,12/13/2016,44,3
K,21,K043,I.S. 98 - BROOKLYN,1401 EMMONS AVENUE,Yes,12/17/2016,107,21
K,13,K044,P.S. 44 - BROOKLYN,432 MONROE STREET,Yes,12/7/2016,142,6
K,32,K045,P.S. 45 - BROOKLYN,84 SCHAEFER STREET,No,1/28/2017,83,0
K,13,K046,P.S. 46 - BROOKLYN,100 CLERMONT AVENUE,Yes,12/2/2016,121,2
K,20,K048,P.S. 48 - BROOKLYN,6015 18 AVENUE,Yes,12/9/2016,58,4
K,14,K049,I.S. 49 - BROOKLYN,223 GRAHAM AVENUE,Yes,12/23/2016,69,3
K,14,K050,J.H.S. 50 - BROOKLYN,183 SOUTH 3 STREET,Yes,12/24/2016,103,4
K,15,K051,I.S. 51 - BROOKLYN,350 5 AVENUE,Yes,12/10/2016,82,11
K,22,K052,P.S. 52 - BROOKLYN,2675 EAST 29 STREET,Yes,12/16/2016,124,9
K,13,K054,P.S. 54 - BROOKLYN,195 SANDFORD STREET,Yes,12/2/2016,75,4
K,23,K055,I.S. 55 - BROOKLYN,2021 BERGEN STREET,Yes,12/7/2016,89,21
K,13,K056,P.S. 56 - BROOKLYN,170 GATES AVENUE,Yes,12/9/2016,117,11
K,16,K057,J.H.S. 57 - BROOKLYN,125 STUYVESANT AVENUE,Yes,1/28/2017,69,5
K,15,K058,P.S. 58 - BROOKLYN,330 SMITH STREET,Yes,12/02/2016; 12/16/2016,130,7
K,14,K059,P.S. 59 - BROOKLYN,211 THROOP AVENUE,Yes,12/2/2016,123,5
K,17,K061,I.S. 61 - BROOKLYN,400 EMPIRE BOULEVARD,Yes,12/16/2016,82,7
K,20,K062,I.S. 62 - BROOKLYN,700 CORTELYOU ROAD,Yes,12/14/2016,90,20
K,22,K063,PRE-K CENTER @1340 EAST 29TH STREET - BROOKLYN,1340 EAST 29TH STREET,No,2/3/2017,37,0
K,19,K065,P.S. 65 - BROOKLYN,158 RICHMOND STREET,Yes,11/30/2016,26,2
K,18,K066,P.S. 66 - BROOKLYN,845 EAST 96 STREET,Yes,12/14/2016,162,13
K,13,K067,P.S. 67 - BROOKLYN,51 SAINT EDWARDS STREET,Yes,1/28/2017,57,2
K,18,K068,I.S. 68 - BROOKLYN,956 EAST 82 STREET,Yes,12/24/2016,116,26
K,20,K069,P.S. 69 - BROOKLYN,6302 9TH AVENUE,Yes,12/9/2016,111,11
K,14,K071,I.S. 71 - BROOKLYN,215 HEYWARD STREET,Yes,12/9/2016,100,13
K,19,K072,P.S. 72 - BROOKLYN,605 SHEPHERD AVENUE,Yes,12/6/2016,92,6
K,23,K073,P.S. 73 - BROOKLYN,251 MCDOUGAL STREET,Yes,12/2/2016,56,4
K,32,K075,P.S. 75 - BROOKLYN,95 GROVE STREET,Yes,12/2/2016,46,2
K,22,K078,I.S. 78 - BROOKLYN,1420 EAST 68 STREET,Yes,12/17/2016,136,33
K,16,K081,P.S. 81 - BROOKLYN,990 DEKALB AVENUE,Yes,12/2/2016,170,5
K,14,K084,P.S. 84 - BROOKLYN,250 BERRY STREET,Yes,11/29/2016,153,14
K,13,K085,P.S. 753 (OLD P85/STERLING HS) - K,510 CLERMONT AVENUE,Yes,12/2/2016,62,6
K,32,K086,P.S. 86 - BROOKLYN,220 IRVING AVENUE,No,12/3/2016,17,0
K,15,K088,I.S. 88 - BROOKLYN,544 7TH AVENUE,Yes,12/8/2016,136,29
K,21,K090,P.S. 90 - BROOKLYN,2840 WEST 12 STREET,Yes,12/16/2016,127,14
K,17,K091,P.S. 91 - BROOKLYN,532 ALBANY AVENUE,No,12/14/2016,53,0
K,17,K092,P.S. 92 - BROOKLYN,601 PARKSIDE AVENUE,Yes,12/14/2016,136,32
K,13,K093,P.S. 93 - BROOKLYN,31 NEW YORK AVENUE,Yes,12/10/2016,70,2
K,15,K094,P.S. 94 - BROOKLYN,5010 6 AVENUE,Yes,12/23/2016,75,3
K,21,K095,P.S. 95 - BROOKLYN,345 VAN SICKLEN STREET,Yes,12/9/2016,88,32
